PMID,ENTREZ,GO,BTO,score
25912252,56255,GO:0005783,BTO:0002133,38.5378312767
25912252,10130,GO:0005783,BTO:0002133,38.5378312767
25912252,54495,GO:0005783,BTO:0002133,38.5378312767
25912252,10954,GO:0005783,BTO:0002133,38.5378312767
3364729,1956,GO:0005886,BTO:0000017,38.535014066
9545268,1956,GO:0005886,BTO:0000017,38.535014066
19951711,1956,GO:0005886,BTO:0000017,38.535014066
14714624,1956,GO:0005886,BTO:0000017,38.535014066
11537708,1956,GO:0005886,BTO:0000017,38.535014066
8355247,1956,GO:0005886,BTO:0000017,38.535014066
7655171,1956,GO:0005886,BTO:0000017,38.535014066
2498317,1956,GO:0005886,BTO:0000017,38.535014066
6323589,1956,GO:0005886,BTO:0000017,38.535014066
2560399,1956,GO:0005886,BTO:0000017,38.535014066
22470534,1956,GO:0005886,BTO:0000017,38.535014066
1400622,1956,GO:0005886,BTO:0000017,38.535014066
1693923,1956,GO:0005886,BTO:0000017,38.535014066
12181310,1956,GO:0005886,BTO:0000017,38.535014066
3149275,1956,GO:0005886,BTO:0000017,38.535014066
2548197,1956,GO:0005886,BTO:0000017,38.535014066
2784329,1956,GO:0005886,BTO:0000017,38.535014066
2986979,1956,GO:0005886,BTO:0000017,38.535014066
2459591,1956,GO:0005886,BTO:0000017,38.535014066
3324824,1956,GO:0005886,BTO:0000017,38.535014066
7673163,1956,GO:0005886,BTO:0000017,38.535014066
10707088,1956,GO:0005886,BTO:0000017,38.535014066
6092175,1956,GO:0005886,BTO:0000017,38.535014066
2271554,1956,GO:0005886,BTO:0000017,38.535014066
2982824,1956,GO:0005886,BTO:0000017,38.535014066
17268061,1956,GO:0005886,BTO:0000017,38.535014066
21658382,1956,GO:0005886,BTO:0000017,38.535014066
17890389,1956,GO:0005886,BTO:0000017,38.535014066
6090450,1956,GO:0005886,BTO:0000017,38.535014066
15166244,1956,GO:0005886,BTO:0000017,38.535014066
11498019,1956,GO:0005886,BTO:0000017,38.535014066
7608909,1956,GO:0005886,BTO:0000017,38.535014066
2868013,1956,GO:0005886,BTO:0000017,38.535014066
9538218,1956,GO:0005886,BTO:0000017,38.535014066
1645342,1956,GO:0005886,BTO:0000017,38.535014066
8470090,1956,GO:0005886,BTO:0000017,38.535014066
2171524,1956,GO:0005886,BTO:0000017,38.535014066
3000217,1956,GO:0005886,BTO:0000017,38.535014066
9692677,1956,GO:0005886,BTO:0000017,38.535014066
1847663,1956,GO:0005886,BTO:0000017,38.535014066
12743604,1956,GO:0005886,BTO:0000017,38.535014066
8226925,1956,GO:0005886,BTO:0000017,38.535014066
2026602,1956,GO:0005886,BTO:0000017,38.535014066
25812698,1956,GO:0005886,BTO:0000017,38.535014066
21761914,1956,GO:0005886,BTO:0000017,38.535014066
20054340,1956,GO:0005886,BTO:0000017,38.535014066
22032640,1956,GO:0005886,BTO:0000017,38.535014066
6157683,1956,GO:0005886,BTO:0000017,38.535014066
2993780,1956,GO:0005886,BTO:0000017,38.535014066
11746212,1956,GO:0005886,BTO:0000017,38.535014066
2790786,1956,GO:0005886,BTO:0000017,38.535014066
18398293,1956,GO:0005886,BTO:0000017,38.535014066
6309836,1956,GO:0005886,BTO:0000017,38.535014066
2447100,1956,GO:0005886,BTO:0000017,38.535014066
2420276,1956,GO:0005886,BTO:0000017,38.535014066
8212575,1956,GO:0005886,BTO:0000017,38.535014066
7925442,1956,GO:0005886,BTO:0000017,38.535014066
25893361,1956,GO:0005886,BTO:0000017,38.535014066
27386579,1956,GO:0005886,BTO:0000017,38.535014066
6306002,1956,GO:0005886,BTO:0000017,38.535014066
21435385,1956,GO:0005886,BTO:0000017,38.535014066
9895306,1956,GO:0005886,BTO:0000017,38.535014066
17115926,1956,GO:0005886,BTO:0000017,38.535014066
23118232,1956,GO:0005886,BTO:0000017,38.535014066
8532841,1956,GO:0005886,BTO:0000017,38.535014066
17638075,1956,GO:0005886,BTO:0000017,38.535014066
17374733,1956,GO:0005886,BTO:0000017,38.535014066
19276250,1956,GO:0005886,BTO:0000017,38.535014066
1797137,1956,GO:0005886,BTO:0000017,38.535014066
9010029,1956,GO:0005886,BTO:0000017,38.535014066
2169831,1956,GO:0005886,BTO:0000017,38.535014066
10353691,1956,GO:0005886,BTO:0000017,38.535014066
23185433,1956,GO:0005886,BTO:0000017,38.535014066
1697037,1956,GO:0005886,BTO:0000017,38.535014066
14871842,1956,GO:0005886,BTO:0000017,38.535014066
18754049,1956,GO:0005886,BTO:0000017,38.535014066
10506134,1956,GO:0005886,BTO:0000017,38.535014066
3494733,1956,GO:0005886,BTO:0000017,38.535014066
20126988,1956,GO:0005886,BTO:0000017,38.535014066
23411345,1956,GO:0005886,BTO:0000017,38.535014066
22797061,1956,GO:0005886,BTO:0000017,38.535014066
12402303,1956,GO:0005886,BTO:0000017,38.535014066
21259434,1956,GO:0005886,BTO:0000017,38.535014066
22587495,1956,GO:0005886,BTO:0000017,38.535014066
8080283,1956,GO:0005886,BTO:0000017,38.535014066
20181947,1956,GO:0005886,BTO:0000017,38.535014066
19789263,1956,GO:0005886,BTO:0000017,38.535014066
26368334,1956,GO:0005886,BTO:0000017,38.535014066
11335725,1956,GO:0005886,BTO:0000017,38.535014066
25666625,1956,GO:0005886,BTO:0000017,38.535014066
14996911,1956,GO:0005886,BTO:0000017,38.535014066
7737361,1956,GO:0005886,BTO:0000017,38.535014066
16919867,1956,GO:0005886,BTO:0000017,38.535014066
8714355,1956,GO:0005886,BTO:0000017,38.535014066
20829129,1956,GO:0005886,BTO:0000017,38.535014066
1901794,1956,GO:0005886,BTO:0000017,38.535014066
22732145,1956,GO:0005886,BTO:0000017,38.535014066
25438047,1956,GO:0005886,BTO:0000017,38.535014066
2786451,1956,GO:0005886,BTO:0000017,38.535014066
16221533,5243,GO:0005886,BTO:0000195,33.3363392822
17507208,5243,GO:0005886,BTO:0000195,33.3363392822
15634944,5243,GO:0005886,BTO:0000195,33.3363392822
16681038,5243,GO:0005886,BTO:0000195,33.3363392822
15023456,5243,GO:0005886,BTO:0000195,33.3363392822
21162116,5243,GO:0005886,BTO:0000195,33.3363392822
16552717,5243,GO:0005886,BTO:0000195,33.3363392822
26426900,5243,GO:0005886,BTO:0000195,33.3363392822
12636153,5243,GO:0005886,BTO:0000195,33.3363392822
15683866,5243,GO:0005886,BTO:0000195,33.3363392822
25042090,5243,GO:0005886,BTO:0000195,33.3363392822
12134948,5243,GO:0005886,BTO:0000195,33.3363392822
12445560,5243,GO:0005886,BTO:0000195,33.3363392822
16498570,5243,GO:0005886,BTO:0000195,33.3363392822
19562680,5243,GO:0005886,BTO:0000195,33.3363392822
10992002,5243,GO:0005886,BTO:0000195,33.3363392822
14706813,5243,GO:0005886,BTO:0000195,33.3363392822
11396754,5243,GO:0005886,BTO:0000195,33.3363392822
12134946,5243,GO:0005886,BTO:0000195,33.3363392822
19122284,5243,GO:0005886,BTO:0000195,33.3363392822
9821810,5243,GO:0005886,BTO:0000195,33.3363392822
11452702,5243,GO:0005886,BTO:0000195,33.3363392822
16944117,5243,GO:0005886,BTO:0000195,33.3363392822
25587935,5243,GO:0005886,BTO:0000195,33.3363392822
17069426,5243,GO:0005886,BTO:0000195,33.3363392822
9531522,5243,GO:0005886,BTO:0000195,33.3363392822
15621665,5243,GO:0005886,BTO:0000195,33.3363392822
10350002,5243,GO:0005886,BTO:0000195,33.3363392822
8100817,5243,GO:0005886,BTO:0000195,33.3363392822
