Class ID;Preferred Label;Link
BTO:0001565;HT-29-MTX cell;http://purl.obolibrary.org/obo/BTO_0001565
BTO:0001576;choriocarcinoma cell;http://purl.obolibrary.org/obo/BTO_0001576
BTO:0003219;TMK-1 cell;http://purl.obolibrary.org/obo/BTO_0003219
BTO:0000170;cambium;http://purl.obolibrary.org/obo/BTO_0000170
BTO:0002162;ascus;http://purl.obolibrary.org/obo/BTO_0002162
BTO:0001227;seed coat;http://purl.obolibrary.org/obo/BTO_0001227
BTO:0000619;ileal mucosa;http://purl.obolibrary.org/obo/BTO_0000619
BTO:0000112;sieve cell;http://purl.obolibrary.org/obo/BTO_0000112
BTO:0005335;UKRV-Mel-2 cell;http://purl.obolibrary.org/obo/BTO_0005335
BTO:0005346;Ma-Mel-52 cell;http://purl.obolibrary.org/obo/BTO_0005346
BTO:0000123;bladder;http://purl.obolibrary.org/obo/BTO_0000123
BTO:0005357;Ingles cell;http://purl.obolibrary.org/obo/BTO_0005357
BTO:0005269;antennal lobe;http://purl.obolibrary.org/obo/BTO_0005269
BTO:0005322;chronic myelogenous leukemia progenitor cell;http://purl.obolibrary.org/obo/BTO_0005322
BTO:0000666;LoVo cell;http://purl.obolibrary.org/obo/BTO_0000666
BTO:0000677;plant tumor tissue;http://purl.obolibrary.org/obo/BTO_0000677
BTO:0002669;peripheral blood stem cell;http://purl.obolibrary.org/obo/BTO_0002669
BTO:0000328;culture condition:D-phenylglycine-grown cell;http://purl.obolibrary.org/obo/BTO_0000328
BTO:0001263;Friend erythroleukemia cell line;http://purl.obolibrary.org/obo/BTO_0001263
BTO:0003266;HPAF-2 cell;http://purl.obolibrary.org/obo/BTO_0003266
BTO:0001274;spermatid;http://purl.obolibrary.org/obo/BTO_0001274
BTO:0003277;H2.35 cell;http://purl.obolibrary.org/obo/BTO_0003277
BTO:0005058;SU-DHL-1 cell;http://purl.obolibrary.org/obo/BTO_0005058
BTO:0001205;RT4-D6P2T cell;http://purl.obolibrary.org/obo/BTO_0001205
BTO:0003208;anaplastic thyroid cancer cell;http://purl.obolibrary.org/obo/BTO_0003208
BTO:0001216;Schwann cell line;http://purl.obolibrary.org/obo/BTO_0001216
BTO:0001139;pseudoplasmodium;http://purl.obolibrary.org/obo/BTO_0001139
BTO:0005380;Rh-18 cell;http://purl.obolibrary.org/obo/BTO_0005380
BTO:0004994;SK-MEL-110 cell;http://purl.obolibrary.org/obo/BTO_0004994
BTO:0001186;receptacle;http://purl.obolibrary.org/obo/BTO_0001186
BTO:0002507;autonomic nervous system;http://purl.obolibrary.org/obo/BTO_0002507
BTO:0002518;FL-18 cell;http://purl.obolibrary.org/obo/BTO_0002518
BTO:0004695;aortic root;http://purl.obolibrary.org/obo/BTO_0004695
BTO:0005740;plant stem cell;http://purl.obolibrary.org/obo/BTO_0005740
BTO:0005751;C8161.9 cell;http://purl.obolibrary.org/obo/BTO_0005751
BTO:0001250;silk gland;http://purl.obolibrary.org/obo/BTO_0001250
BTO:0000589;primary meristem;http://purl.obolibrary.org/obo/BTO_0000589
BTO:0004219;submandibular gland cell line;http://purl.obolibrary.org/obo/BTO_0004219
BTO:0000287;corneal epithelium;http://purl.obolibrary.org/obo/BTO_0000287
BTO:0002725;CRO-AP/3 cell;http://purl.obolibrary.org/obo/BTO_0002725
BTO:0004208;SB-247 cell;http://purl.obolibrary.org/obo/BTO_0004208
BTO:0005292;NCI-H1155 cell;http://purl.obolibrary.org/obo/BTO_0005292
BTO:0001610;thyroid cancer cell line;http://purl.obolibrary.org/obo/BTO_0001610
BTO:0001968;C-33A cell;http://purl.obolibrary.org/obo/BTO_0001968
BTO:0001621;intestinal cancer cell line;http://purl.obolibrary.org/obo/BTO_0001621
BTO:0001979;mucous gland;http://purl.obolibrary.org/obo/BTO_0001979
BTO:0000298;COS-7 cell;http://purl.obolibrary.org/obo/BTO_0000298
BTO:0002354;talus;http://purl.obolibrary.org/obo/BTO_0002354
BTO:0002565;OVCA-432 cell;http://purl.obolibrary.org/obo/BTO_0002565
BTO:0004346;medial entorhinal cortex;http://purl.obolibrary.org/obo/BTO_0004346
BTO:0004357;Brodmann area 36;http://purl.obolibrary.org/obo/BTO_0004357
BTO:0000711;glioma cell line;http://purl.obolibrary.org/obo/BTO_0000711
