EntrezID;Tissue;SCL
89870;BTO:0000269;GO:0005856
5901;BTO:0000142;GO:0005737
5901;BTO:0000142;GO:0005634
5901;BTO:0000142;GO:0005886
5901;BTO:0000763;GO:0005634
5901;BTO:0000759;GO:0005634
5901;BTO:0000671;GO:0005634
5901;BTO:0000671;GO:0005886
7534;BTO:0000142;GO:0005856
7534;BTO:0000142;GO:0005737
7534;BTO:0000142;GO:0005783
7534;BTO:0000142;GO:0005794
7534;BTO:0000142;GO:0005634
7534;BTO:0000142;GO:0005886
7534;BTO:0000763;GO:0005737
7534;BTO:0000763;GO:0005634
7534;BTO:0000671;GO:0005856
7534;BTO:0000671;GO:0005783
7534;BTO:0000671;GO:0005886
658;BTO:0000140;GO:0005856
658;BTO:0000140;GO:0005783
658;BTO:0000140;GO:0005634
658;BTO:0000140;GO:0005886
10640;BTO:0000142;GO:0005737
10640;BTO:0000142;GO:0005794
10640;BTO:0000142;GO:0005886
10640;BTO:0000142;GO:0031982
8795;BTO:0000142;GO:0005634
8795;BTO:0000142;GO:0005886
8795;BTO:0000763;GO:0005783
8795;BTO:0000763;GO:0005739
8795;BTO:0000763;GO:0005634
8795;BTO:0000763;GO:0005886
8795;BTO:0000269;GO:0005783
8795;BTO:0000269;GO:0005739
8795;BTO:0000269;GO:0005634
8795;BTO:0000269;GO:0005886
8795;BTO:0000759;GO:0005783
8795;BTO:0000671;GO:0005634
8795;BTO:0000671;GO:0005886
5338;BTO:0000142;GO:0005737
5338;BTO:0000142;GO:0005783
5338;BTO:0000142;GO:0005794
5338;BTO:0000142;GO:0005886
5338;BTO:0000142;GO:0031982
5338;BTO:0000763;GO:0005886
5338;BTO:0000763;GO:0031982
10018;BTO:0000142;GO:0005856
10018;BTO:0000142;GO:0005783
10018;BTO:0000142;GO:0005634
10018;BTO:0000763;GO:0005856
10018;BTO:0000763;GO:0005737
10018;BTO:0000763;GO:0005783
10018;BTO:0000763;GO:0005739
10018;BTO:0000759;GO:0005737
10018;BTO:0000759;GO:0005783
10817;BTO:0000763;GO:0005886
9051;BTO:0000140;GO:0005737
9051;BTO:0000140;GO:0005634
9051;BTO:0001253;GO:0005856
10749;BTO:0000142;GO:0031982
10749;BTO:0000671;GO:0031982
23239;BTO:0000142;GO:0005737
23239;BTO:0000142;GO:0005634
2661;BTO:0000140;GO:0005794
2661;BTO:0000140;GO:0005634
2661;BTO:0000140;GO:0031982
2661;BTO:0000123;GO:0005634
2661;BTO:0000671;GO:0005634
2762;BTO:0000142;GO:0005634
10196;BTO:0000142;GO:0005886
10196;BTO:0000763;GO:0005886
10196;BTO:0000759;GO:0005634
79090;BTO:0000671;GO:0005783
79090;BTO:0000671;GO:0005794
79090;BTO:0000671;GO:0005886
10539;BTO:0000142;GO:0005886
10539;BTO:0000759;GO:0005737
10539;BTO:0000671;GO:0005886
3949;BTO:0000142;GO:0005783
3949;BTO:0000142;GO:0005794
3949;BTO:0000142;GO:0005634
3949;BTO:0000142;GO:0005886
3949;BTO:0000142;GO:0031982
3949;BTO:0001253;GO:0005886
3949;BTO:0000759;GO:0005783
3949;BTO:0000759;GO:0005634
3949;BTO:0000759;GO:0005886
3949;BTO:0000671;GO:0005886
1950;BTO:0000142;GO:0005783
1950;BTO:0000142;GO:0005886
1950;BTO:0000142;GO:0031982
1950;BTO:0001253;GO:0005634
1950;BTO:0000763;GO:0005856
1950;BTO:0000763;GO:0005634
1950;BTO:0000269;GO:0005856
1950;BTO:0000269;GO:0005737
1950;BTO:0000269;GO:0005634
1950;BTO:0000759;GO:0005783
1950;BTO:0000759;GO:0005886
1950;BTO:0000671;GO:0005634
1950;BTO:0000671;GO:0005886
341;BTO:0000142;GO:0005634
341;BTO:0000142;GO:0005886
341;BTO:0000671;GO:0005886
7083;BTO:0000763;GO:0005737
7083;BTO:0000763;GO:0005634
7083;BTO:0000269;GO:0005737
7083;BTO:0000759;GO:0005737
7083;BTO:0001421;GO:0005634
7083;BTO:0000671;GO:0005737
4914;BTO:0000142;GO:0005856
4914;BTO:0000142;GO:0005634
4914;BTO:0000142;GO:0005886
4914;BTO:0001253;GO:0005634
4914;BTO:0000269;GO:0005783
4914;BTO:0000269;GO:0005886
4914;BTO:0000759;GO:0005634
4914;BTO:0000671;GO:0005886
383;BTO:0000142;GO:0005886
383;BTO:0000763;GO:0005634
383;BTO:0000759;GO:0005737
383;BTO:0000759;GO:0005739
383;BTO:0000671;GO:0005739
383;BTO:0000671;GO:0005886
3690;BTO:0000142;GO:0005856
3690;BTO:0000142;GO:0005634
3690;BTO:0000142;GO:0005886
3690;BTO:0000140;GO:0005634
3690;BTO:0001253;GO:0005634
3690;BTO:0000763;GO:0005634
3690;BTO:0000763;GO:0005886
3690;BTO:0000759;GO:0005634
3690;BTO:0000671;GO:0005856
3690;BTO:0000671;GO:0005783
3690;BTO:0000671;GO:0005794
1622;BTO:0000142;GO:0005886
1622;BTO:0000759;GO:0005737
1622;BTO:0000759;GO:0005634
1622;BTO:0000671;GO:0005886
3480;BTO:0000142;GO:0005634
3480;BTO:0000140;GO:0005634
3480;BTO:0000140;GO:0005886
3480;BTO:0001253;GO:0005634
3480;BTO:0000763;GO:0005783
3480;BTO:0000269;GO:0005634
3480;BTO:0000759;GO:0005634
3480;BTO:0000671;GO:0005634
3480;BTO:0000671;GO:0005886
3678;BTO:0000140;GO:0005856
3678;BTO:0000763;GO:0005856
3678;BTO:0000763;GO:0005634
3678;BTO:0000671;GO:0005737
3678;BTO:0000671;GO:0005886
2203;BTO:0000142;GO:0005886
2203;BTO:0000763;GO:0005634
2203;BTO:0000671;GO:0005886
2775;BTO:0000759;GO:0005737
2775;BTO:0000759;GO:0005794
7314;BTO:0000142;GO:0005737
7314;BTO:0000142;GO:0005634
7314;BTO:0000142;GO:0005886
7314;BTO:0000269;GO:0005783
7314;BTO:0000759;GO:0005737
7314;BTO:0000759;GO:0005634
7314;BTO:0000671;GO:0005634
7314;BTO:0000671;GO:0005886
6348;BTO:0000142;GO:0005634
6348;BTO:0000763;GO:0005856
6348;BTO:0000671;GO:0005886
128;BTO:0000142;GO:0005886
128;BTO:0000671;GO:0005886
6351;BTO:0000142;GO:0005634
6352;BTO:0000142;GO:0005634
6352;BTO:0000763;GO:0005856
6352;BTO:0000763;GO:0005886
653361;BTO:0000140;GO:0005737
653361;BTO:0000140;GO:0005886
653361;BTO:0000140;GO:0031982
653361;BTO:0000763;GO:0005856
653361;BTO:0000763;GO:0005737
653361;BTO:0000759;GO:0005737
653361;BTO:0000671;GO:0005737
7422;BTO:0000142;GO:0005856
7422;BTO:0000142;GO:0005783
7422;BTO:0000142;GO:0005634
7422;BTO:0000140;GO:0005856
7422;BTO:0000140;GO:0005737
7422;BTO:0000140;GO:0005783
7422;BTO:0000140;GO:0005634
7422;BTO:0000140;GO:0005886
7422;BTO:0001253;GO:0005856
7422;BTO:0001253;GO:0005634
7422;BTO:0000123;GO:0005856
7422;BTO:0000123;GO:0005634
7422;BTO:0000763;GO:0005856
7422;BTO:0000763;GO:0005634
7422;BTO:0000269;GO:0005634
7422;BTO:0000759;GO:0005634
7422;BTO:0001421;GO:0005634
7422;BTO:0000671;GO:0005634
7422;BTO:0000671;GO:0005886
6853;BTO:0000142;GO:0005856
6853;BTO:0000142;GO:0005634
6853;BTO:0000142;GO:0031982
5867;BTO:0000142;GO:0005737
5867;BTO:0001253;GO:0005886
5867;BTO:0000269;GO:0005886
5867;BTO:0000759;GO:0005886
5867;BTO:0000671;GO:0005886
5921;BTO:0000763;GO:0005886
6857;BTO:0000142;GO:0005737
6857;BTO:0000142;GO:0031982
6303;BTO:0000269;GO:0005634
6303;BTO:0000269;GO:0005886
3716;BTO:0001253;GO:0005634
3716;BTO:0000123;GO:0005886
3716;BTO:0000763;GO:0005634
3716;BTO:0000759;GO:0005634
3716;BTO:0000671;GO:0005783
6843;BTO:0000142;GO:0005886
6843;BTO:0000142;GO:0031982
6843;BTO:0000759;GO:0031982
6843;BTO:0000671;GO:0031982
5430;BTO:0000142;GO:0005634
5430;BTO:0000763;GO:0005634
5430;BTO:0000269;GO:0005634
5430;BTO:0000671;GO:0005634
4004;BTO:0000142;GO:0005634
5774;BTO:0000759;GO:0005856
5774;BTO:0000759;GO:0005634
1996;BTO:0000142;GO:0005634
1996;BTO:0000763;GO:0005634
1996;BTO:0000763;GO:0005886
810;BTO:0000142;GO:0005886
810;BTO:0000763;GO:0005634
5692;BTO:0000140;GO:0005634
5692;BTO:0001253;GO:0005737
5692;BTO:0001253;GO:0005634
5692;BTO:0000671;GO:0005634
624;BTO:0001253;GO:0005634
624;BTO:0000671;GO:0005886
5575;BTO:0000763;GO:0005634
5015;BTO:0000142;GO:0005634
6753;BTO:0000671;GO:0031982
3857;BTO:0000142;GO:0005886
3857;BTO:0001253;GO:0005856
3857;BTO:0000763;GO:0005634
3857;BTO:0000671;GO:0005856
3857;BTO:0000671;GO:0005886
88;BTO:0000142;GO:0005856
88;BTO:0000142;GO:0005886
88;BTO:0000671;GO:0005856
88;BTO:0000671;GO:0005634
88;BTO:0000671;GO:0005886
407;BTO:0000142;GO:0005634
407;BTO:0000142;GO:0005886
407;BTO:0000269;GO:0005634
407;BTO:0000269;GO:0005886
3241;BTO:0000142;GO:0005737
3241;BTO:0000142;GO:0005634
3241;BTO:0000142;GO:0005886
3241;BTO:0000142;GO:0031982
3241;BTO:0000759;GO:0005634
3241;BTO:0000671;GO:0005886
6223;BTO:0000142;GO:0005886
6223;BTO:0000763;GO:0005634
6223;BTO:0000269;GO:0005783
6223;BTO:0000671;GO:0005783
6223;BTO:0000671;GO:0005886
4321;BTO:0000763;GO:0005737
4321;BTO:0000763;GO:0005634
4145;BTO:0000142;GO:0005794
6506;BTO:0000142;GO:0005783
6506;BTO:0000142;GO:0005634
6506;BTO:0000142;GO:0005886
6506;BTO:0000269;GO:0005886
6506;BTO:0000759;GO:0005886
6505;BTO:0000142;GO:0005783
6505;BTO:0000142;GO:0005634
6505;BTO:0000142;GO:0005886
6505;BTO:0000759;GO:0005634
6505;BTO:0000671;GO:0005886
221;BTO:0000142;GO:0005886
221;BTO:0000763;GO:0005737
221;BTO:0000759;GO:0005737
221;BTO:0000671;GO:0005737
221;BTO:0000671;GO:0005886
8870;BTO:0001253;GO:0005634
6258;BTO:0000140;GO:0005634
6258;BTO:0000763;GO:0005634
6726;BTO:0000142;GO:0005886
6726;BTO:0000763;GO:0005634
6726;BTO:0000269;GO:0005634
6726;BTO:0000671;GO:0005886
5691;BTO:0000142;GO:0005886
5691;BTO:0000763;GO:0005783
5691;BTO:0000671;GO:0005886
7424;BTO:0000759;GO:0005634
6783;BTO:0000763;GO:0005737
6783;BTO:0000269;GO:0005737
6783;BTO:0000759;GO:0005737
6783;BTO:0000671;GO:0005737
2665;BTO:0000142;GO:0005886
2665;BTO:0000142;GO:0031982
2665;BTO:0000671;GO:0005886
6777;BTO:0000140;GO:0005634
6777;BTO:0001253;GO:0005634
6777;BTO:0000763;GO:0005783
6777;BTO:0000763;GO:0005634
6777;BTO:0000269;GO:0005634
6777;BTO:0000759;GO:0005737
6777;BTO:0000759;GO:0005634
6777;BTO:0000671;GO:0005634
829;BTO:0000763;GO:0005634
829;BTO:0000759;GO:0005794
829;BTO:0000671;GO:0005794
3306;BTO:0000763;GO:0005634
3306;BTO:0000671;GO:0005737
3306;BTO:0000671;GO:0005783
3306;BTO:0000671;GO:0005634
8775;BTO:0000142;GO:0005737
8775;BTO:0000142;GO:0005886
8775;BTO:0000269;GO:0005783
8775;BTO:0000269;GO:0005794
8775;BTO:0000759;GO:0005737
8775;BTO:0000759;GO:0005794
8775;BTO:0000759;GO:0031982
8775;BTO:0000671;GO:0005886
8775;BTO:0000671;GO:0031982
7009;BTO:0000142;GO:0005783
7009;BTO:0000140;GO:0005783
7009;BTO:0000763;GO:0005783
7009;BTO:0000759;GO:0005783
7009;BTO:0000759;GO:0005794
7009;BTO:0000671;GO:0005783
7009;BTO:0000671;GO:0005794
840;BTO:0000123;GO:0005783
840;BTO:0000759;GO:0005737
840;BTO:0000759;GO:0005634
840;BTO:0000671;GO:0005737
840;BTO:0000671;GO:0005783
11034;BTO:0000142;GO:0005886
11034;BTO:0001253;GO:0005856
11034;BTO:0000269;GO:0005856
11034;BTO:0000671;GO:0005886
112755;BTO:0000142;GO:0005634
9114;BTO:0000142;GO:0005886
9114;BTO:0000140;GO:0005886
9114;BTO:0000671;GO:0005886
567;BTO:0000142;GO:0005886
567;BTO:0000142;GO:0031982
567;BTO:0000763;GO:0005886
567;BTO:0000269;GO:0005886
567;BTO:0000759;GO:0005794
567;BTO:0000671;GO:0005856
567;BTO:0000671;GO:0005783
567;BTO:0000671;GO:0005794
567;BTO:0000671;GO:0005886
10577;BTO:0000142;GO:0005856
10577;BTO:0000142;GO:0005886
10577;BTO:0001253;GO:0005783
10577;BTO:0000759;GO:0005737
10577;BTO:0000759;GO:0005783
10577;BTO:0000759;GO:0005794
10577;BTO:0000759;GO:0005886
10577;BTO:0000671;GO:0005886
7532;BTO:0000142;GO:0005856
7532;BTO:0000142;GO:0005634
7532;BTO:0000142;GO:0005886
7532;BTO:0001253;GO:0005737
7532;BTO:0001253;GO:0005634
7532;BTO:0000763;GO:0005634
7531;BTO:0000142;GO:0005783
7531;BTO:0000142;GO:0005634
7531;BTO:0000142;GO:0005886
7531;BTO:0000763;GO:0005634
7531;BTO:0000269;GO:0005634
7531;BTO:0000671;GO:0005783
7531;BTO:0000671;GO:0005886
6207;BTO:0000142;GO:0005886
6207;BTO:0000671;GO:0005886
6844;BTO:0000142;GO:0005856
6844;BTO:0000142;GO:0005737
6844;BTO:0000142;GO:0005783
6844;BTO:0000142;GO:0005886
6844;BTO:0000142;GO:0031982
6844;BTO:0000140;GO:0031982
6844;BTO:0000763;GO:0031982
6844;BTO:0000759;GO:0031982
6844;BTO:0000671;GO:0005886
6844;BTO:0000671;GO:0031982
140885;BTO:0000140;GO:0005886
140885;BTO:0000671;GO:0005856
3889;BTO:0000763;GO:0005634
2647;BTO:0000142;GO:0005886
2647;BTO:0000142;GO:0031982
2647;BTO:0000759;GO:0005737
2647;BTO:0000759;GO:0031982
2647;BTO:0000671;GO:0005886
5310;BTO:0000140;GO:0005634
5310;BTO:0000763;GO:0005886
5310;BTO:0000269;GO:0005856
5310;BTO:0000759;GO:0005856
5310;BTO:0000759;GO:0005783
5310;BTO:0000759;GO:0031982
5310;BTO:0000671;GO:0005856
5310;BTO:0000671;GO:0005737
5310;BTO:0000671;GO:0005783
5310;BTO:0000671;GO:0005634
5310;BTO:0000671;GO:0005886
5310;BTO:0000671;GO:0031982
774;BTO:0000142;GO:0005737
774;BTO:0000142;GO:0005634
4919;BTO:0000142;GO:0005886
4919;BTO:0000763;GO:0005886
4920;BTO:0000140;GO:0005783
4920;BTO:0000140;GO:0005886
5966;BTO:0000763;GO:0005634
5966;BTO:0000671;GO:0005634
7533;BTO:0000142;GO:0005856
7533;BTO:0000142;GO:0005783
7533;BTO:0000142;GO:0005794
7533;BTO:0000142;GO:0005634
7533;BTO:0000763;GO:0005634
7533;BTO:0000671;GO:0005783
5720;BTO:0000142;GO:0005886
5720;BTO:0000671;GO:0005783
5720;BTO:0000671;GO:0005886
5142;BTO:0000142;GO:0005737
5142;BTO:0000763;GO:0005737
5142;BTO:0000759;GO:0005737
5142;BTO:0000671;GO:0005737
5142;BTO:0000671;GO:0005634
89;BTO:0000671;GO:0005634
5996;BTO:0000142;GO:0005634
5996;BTO:0000759;GO:0005886
5996;BTO:0000671;GO:0005886
3702;BTO:0000763;GO:0005737
3757;BTO:0000142;GO:0005783
3757;BTO:0000140;GO:0005886
3757;BTO:0000269;GO:0005886
3757;BTO:0000671;GO:0005737
3757;BTO:0000671;GO:0005783
3757;BTO:0000671;GO:0005794
3757;BTO:0000671;GO:0005886
10966;BTO:0000142;GO:0031982
10966;BTO:0000671;GO:0031982
8073;BTO:0000142;GO:0005886
8073;BTO:0000763;GO:0005634
8073;BTO:0000759;GO:0005634
8073;BTO:0000671;GO:0005886
3937;BTO:0000763;GO:0005737
3937;BTO:0000759;GO:0005886
8100;BTO:0000140;GO:0005856
10062;BTO:0000140;GO:0005634
10062;BTO:0000763;GO:0005634
10062;BTO:0000759;GO:0005856
10062;BTO:0000759;GO:0005783
10062;BTO:0000759;GO:0005634
10062;BTO:0000759;GO:0005886
5708;BTO:0000142;GO:0005783
5708;BTO:0000142;GO:0005634
5708;BTO:0000142;GO:0005886
5708;BTO:0001253;GO:0005737
5708;BTO:0001253;GO:0005634
2904;BTO:0000142;GO:0005856
2904;BTO:0000142;GO:0005783
2904;BTO:0000142;GO:0005886
2904;BTO:0000759;GO:0005886
2904;BTO:0000671;GO:0005886
638;BTO:0000759;GO:0005737
638;BTO:0000759;GO:0005783
638;BTO:0000671;GO:0005737
638;BTO:0000671;GO:0005783
23542;BTO:0000142;GO:0031982
23542;BTO:0000763;GO:0005737
8751;BTO:0000269;GO:0005886
8751;BTO:0000759;GO:0005634
214;BTO:0000759;GO:0005737
214;BTO:0000759;GO:0005634
214;BTO:0000671;GO:0005886
23406;BTO:0000142;GO:0005886
23406;BTO:0000763;GO:0005856
23406;BTO:0000763;GO:0005737
23406;BTO:0000671;GO:0005737
23406;BTO:0000671;GO:0005886
3745;BTO:0000142;GO:0005783
3745;BTO:0000142;GO:0005886
5526;BTO:0000142;GO:0005634
23475;BTO:0000142;GO:0005886
23475;BTO:0000671;GO:0005886
6923;BTO:0000142;GO:0005886
6923;BTO:0000671;GO:0005783
6923;BTO:0000671;GO:0005886
6263;BTO:0000142;GO:0005783
6263;BTO:0000142;GO:0005634
7016;BTO:0000759;GO:0005886
6804;BTO:0000142;GO:0005856
6804;BTO:0000142;GO:0005737
6804;BTO:0000142;GO:0005886
6804;BTO:0000142;GO:0031982
6804;BTO:0000763;GO:0031982
6804;BTO:0000269;GO:0005886
6804;BTO:0000671;GO:0005886
6804;BTO:0000671;GO:0031982
1847;BTO:0000142;GO:0005634
