HPA SCL;HPA SCL GO
Nucleus;GO:0005634
Nucleoplasm;GO:0005654
Nuclear bodies;GO:0016604
Nuclear speckles;GO:0016607
Nuclear membrane;GO:0031965
Nucleoli;GO:0005730
Nucleoli (Fibrillar center);GO:0001650
Cytosol;GO:0005829
Cytoplasmic bodies;GO:0000932
Rods and Rings;GO:0005829
Lipid droplets;GO:0005811
Aggresome;GO:0016235
Mitochondria;GO:0005739
Microtubules;GO:0005874
Microtubule ends;GO:1990752
Microtubule organizing center;GO:0005815
Centrosome;GO:0005813
Mitotic spindle;GO:0005819
Cytokinetic bridge;GO:0045171
Midbody;GO:0030496
Midbody ring;GO:0090543
Intermediate filaments;GO:0005882
Actin filaments;GO:0005884
Focal Adhesions;GO:0005925
Endoplasmic reticulum;GO:0005783
Golgi apparatus;GO:0005794
Vesicles;GO:0031982
Plasma membrane;GO:0005886
Cell Junctions;GO:0030054
