protein,tissue,scl,score
2099,BTO:0000093,GO:0005634,31.9143343169
1956,BTO:0000017,GO:0005886,26.9180781497
2697,BTO:0000567,GO:0030054,26.4284099752
5243,BTO:0000195,GO:0005886,26.0882752618
4638,BTO:0000195,GO:0030054,23.5869943998
7157,BTO:0000093,GO:0005634,21.7135396544
100506658,BTO:0000195,GO:0030054,21.4964486108
4790,BTO:0000018,GO:0005634,19.6700147595
1244,BTO:0000195,GO:0005886,17.4170882914
57332,BTO:0001061,GO:0005634,17.0258994484
54205,BTO:0000093,GO:0005739,16.5078668455
1950,BTO:0000017,GO:0005886,16.0068513371
836,BTO:0000599,GO:0005739,15.5856888896
4780,BTO:0000599,GO:0005634,15.2381605442
836,BTO:0000018,GO:0005739,14.8810807361
7082,BTO:0000195,GO:0030054,14.3247123035
6564,BTO:0000195,GO:0005886,14.3222114532
54205,BTO:0000599,GO:0005739,14.1633392146
1956,BTO:0000017,GO:0005856,13.7950966729
91807,BTO:0000195,GO:0030054,13.4750506808
57332,BTO:0001061,GO:0005783,13.3789117255
842,BTO:0000018,GO:0005739,13.1179403109
5122,BTO:0001061,GO:0005634,12.9163421304
836,BTO:0000567,GO:0005739,12.5248259753
5970,BTO:0000018,GO:0005634,12.4831229874
54205,BTO:0000093,GO:0005829,12.4425860667
5747,BTO:0001061,GO:0005925,12.2253570681
5747,BTO:0000093,GO:0005925,12.1343672559
581,BTO:0000093,GO:0005739,11.5922611424
2706,BTO:0000567,GO:0030054,11.2668005459
367,BTO:0001061,GO:0005634,11.2657468951
2099,BTO:0000093,GO:0005829,11.15370059
596,BTO:0000093,GO:0005739,11.0812055479
2702,BTO:0000567,GO:0030054,11.0341512936
ENTREZ,BTO,GO,10.9409396933
5468,BTO:0000093,GO:0031982,10.9325635332
581,BTO:0000018,GO:0005739,10.8147938672
10052,BTO:0000567,GO:0030054,10.4034925279
5465,BTO:0000599,GO:0031982,10.3846449887
54205,BTO:0000567,GO:0005829,10.2907343431
5468,BTO:0000018,GO:0031982,10.1130873064
836,BTO:0000793,GO:0005739,9.91908925272
672,BTO:0000093,GO:0005634,9.9028253729
7157,BTO:0000567,GO:0005634,9.89869765158
581,BTO:0000093,GO:0005829,9.77632608428
54205,BTO:0000567,GO:0005739,9.63968946884
1244,BTO:0000007,GO:0031982,9.62363711075
54205,BTO:0001061,GO:0005739,9.58577273095
7124,BTO:0000018,GO:0005634,9.3757260296
4780,BTO:0000793,GO:0005634,9.35706056563
4790,BTO:0000567,GO:0005634,9.277529989
54205,BTO:0000599,GO:0005829,9.18131965193
54205,BTO:0001061,GO:0005829,9.11423520867
5422,BTO:0000567,GO:0005634,9.04931312411
842,BTO:0000093,GO:0005739,9.01567614207
841,BTO:0000018,GO:0005739,8.90009190639
5465,BTO:0000093,GO:0031982,8.83768762832
842,BTO:0000567,GO:0005739,8.79818822599
596,BTO:0000018,GO:0005739,8.67372186127
5241,BTO:0000093,GO:0005829,8.67269132533
7097,BTO:0000007,GO:0005634,8.61570019956
3832,BTO:0000567,GO:0005856,8.54002812095
7124,BTO:0000195,GO:0030054,8.42272232739
6476,BTO:0000195,GO:0005886,8.31641906358
196,BTO:0000093,GO:0005634,8.30513538619
55599,BTO:0000567,GO:0005634,8.27446807659
836,BTO:0000093,GO:0005739,8.24773946293
54205,BTO:0000018,GO:0005739,8.15818596459
4790,BTO:0000195,GO:0030054,8.11888704993
10257,BTO:0000007,GO:0031982,8.11464198228
9076,BTO:0000195,GO:0030054,8.09277607211
857,BTO:0000195,GO:0005886,8.03467574972
6566,BTO:0000195,GO:0005886,7.92631495549
283871,BTO:0000195,GO:0005886,7.81399735849
3576,BTO:0000195,GO:0005886,7.69798133806
4869,BTO:0000567,GO:0005634,7.69291509198
1508,BTO:0002870,GO:0005886,7.67354073022
5970,BTO:0000599,GO:0005634,7.67315154202
5747,BTO:0000195,GO:0005925,7.60869377195
5870,BTO:0000567,GO:0005794,7.59119105322
338,BTO:0000599,GO:0005783,7.57707440264
57332,BTO:0001061,GO:0031982,7.56534220831
2703,BTO:0000567,GO:0030054,7.54802143965
596,BTO:0000567,GO:0005739,7.49103901624
8856,BTO:0000599,GO:0005634,7.38049732366
5747,BTO:0000018,GO:0005925,7.3423717801
114548,BTO:0000018,GO:0005737,7.34131695564
596,BTO:0000793,GO:0005739,7.31808366658
5371,BTO:0000567,GO:0005634,7.25707127169
836,BTO:0000567,GO:0005829,7.25143616044
1649,BTO:0000599,GO:0005783,7.23901073112
5468,BTO:0000599,GO:0031982,7.14213493285
836,BTO:0000567,GO:0005634,7.11153633809
595,BTO:0000093,GO:0005634,7.10684498918
836,BTO:0000793,GO:0005634,7.02828643043
7157,BTO:0000599,GO:0005634,6.99105103862
7157,BTO:0000018,GO:0005634,6.92045114759
1364,BTO:0000195,GO:0030054,6.8614648306
6007,BTO:0005379,GO:0005634,6.69804622798
4891,BTO:0000195,GO:0005886,6.67180508519
5970,BTO:0000567,GO:0005634,6.65972463031
5111,BTO:0000093,GO:0005634,6.60177202422
142,BTO:0000567,GO:0005634,6.58813435676
3576,BTO:0000018,GO:0005634,6.50210884401
6714,BTO:0000093,GO:0005925,6.49640295434
4792,BTO:0000018,GO:0005634,6.48132757516
6427,BTO:0000567,GO:0005634,6.47165963293
6550,BTO:0000195,GO:0005886,6.39236798328
596,BTO:0000093,GO:0005829,6.38066512283
1956,BTO:0000017,GO:0031982,6.30186877696
1956,BTO:0000017,GO:0005634,6.21796675954
581,BTO:0000567,GO:0005739,6.20646928806
7018,BTO:0000195,GO:0005886,6.19922988857
836,BTO:0001061,GO:0005739,6.14677674543
4313,BTO:0002210,GO:0005886,6.09876893053
836,BTO:0000093,GO:0005634,6.0987255595
5594,BTO:0000018,GO:0005634,6.062821206
581,BTO:0001061,GO:0005739,6.05733185288
5243,BTO:0000093,GO:0005634,6.03765352397
4780,BTO:0000018,GO:0005634,6.02959223218
842,BTO:0000599,GO:0005739,6.02811484118
5241,BTO:0000093,GO:0005634,5.97943045351
1649,BTO:0000793,GO:0005783,5.95524882482
4926,BTO:0000567,GO:0005634,5.9454791335
5371,BTO:0002136,GO:0005634,5.9196094275
81,BTO:0000017,GO:0005634,5.91345386661
7099,BTO:0000007,GO:0005634,5.86758657467
5465,BTO:0000195,GO:0031982,5.76501520476
9260,BTO:0000007,GO:0005634,5.75311154726
