protein,tissue,scl,score
2099,BTO:0000093,GO:0005634,31.97071206
1956,BTO:0000017,GO:0005886,26.9656804801
2697,BTO:0000567,GO:0030054,26.4751522535
5243,BTO:0000195,GO:0005886,26.1344201283
4638,BTO:0000195,GO:0030054,23.6287460223
7157,BTO:0000093,GO:0005634,21.7520007454
100506658,BTO:0000195,GO:0030054,21.5345284036
4790,BTO:0000018,GO:0005634,19.7048866081
1244,BTO:0000195,GO:0005886,17.4480031052
57332,BTO:0001061,GO:0005634,17.056127179
54205,BTO:0000093,GO:0005739,16.5371847048
1950,BTO:0000017,GO:0005886,16.0352892139
836,BTO:0000599,GO:0005739,15.6133870376
4780,BTO:0000599,GO:0005634,15.2652482943
836,BTO:0000018,GO:0005739,14.9075413121
7082,BTO:0000195,GO:0030054,14.3501956752
6564,BTO:0000195,GO:0005886,14.3476904325
54205,BTO:0000599,GO:0005739,14.188539151
1956,BTO:0000017,GO:0005856,13.8196498289
91807,BTO:0000195,GO:0030054,13.4990417088
57332,BTO:0001061,GO:0005783,13.4027338952
842,BTO:0000018,GO:0005739,13.1413041111
5122,BTO:0001061,GO:0005634,12.9393518441
836,BTO:0000567,GO:0005739,12.5471480308
5970,BTO:0000018,GO:0005634,12.5053717959
54205,BTO:0000093,GO:0005829,12.4647636762
5747,BTO:0001061,GO:0005925,12.2471531372
5747,BTO:0000093,GO:0005925,12.1560035106
581,BTO:0000093,GO:0005739,11.6129452432
2706,BTO:0000567,GO:0030054,11.2869130085
367,BTO:0001061,GO:0005634,11.2858575071
2099,BTO:0000093,GO:0005829,11.1736144041
596,BTO:0000093,GO:0005739,11.1009920318
2702,BTO:0000567,GO:0030054,11.0538551316
5468,BTO:0000093,GO:0031982,10.9520889427
581,BTO:0000018,GO:0005739,10.8341124263
10052,BTO:0000567,GO:0030054,10.4220886783
5465,BTO:0000599,GO:0031982,10.4032080353
54205,BTO:0000567,GO:0005829,10.3091324452
5468,BTO:0000018,GO:0031982,10.1311733897
836,BTO:0000793,GO:0005739,9.93683459832
672,BTO:0000093,GO:0005634,9.92054215266
7157,BTO:0000567,GO:0005634,9.91640718142
581,BTO:0000093,GO:0005829,9.79382068098
54205,BTO:0000567,GO:0005739,9.65694407731
1244,BTO:0000007,GO:0031982,9.64086352489
54205,BTO:0001061,GO:0005739,9.60293264019
7124,BTO:0000018,GO:0005634,9.3925170133
4780,BTO:0000793,GO:0005634,9.37381876534
4790,BTO:0000567,GO:0005634,9.2941485014
54205,BTO:0000599,GO:0005829,9.19776918071
54205,BTO:0001061,GO:0005829,9.13056691049
5422,BTO:0000567,GO:0005634,9.06553079693
842,BTO:0000093,GO:0005739,9.03183473497
841,BTO:0000018,GO:0005739,8.91604748742
5465,BTO:0000093,GO:0031982,8.85353360261
842,BTO:0000567,GO:0005739,8.81396482362
596,BTO:0000018,GO:0005739,8.68927984647
5241,BTO:0000093,GO:0005829,8.6882475005
7097,BTO:0000007,GO:0005634,8.63115627565
3832,BTO:0000567,GO:0005856,8.55535128677
7124,BTO:0000195,GO:0030054,8.43783945758
6476,BTO:0000195,GO:0005886,8.33134948297
196,BTO:0000093,GO:0005634,8.32004598696
55599,BTO:0000567,GO:0005634,8.28932481337
836,BTO:0000093,GO:0005739,8.26254925363
54205,BTO:0000018,GO:0005739,8.17283846373
4790,BTO:0000195,GO:0030054,8.13347052455
10257,BTO:0000007,GO:0031982,8.12921800088
9076,BTO:0000195,GO:0030054,8.10731368547
857,BTO:0000195,GO:0005886,8.04911131581
6566,BTO:0000195,GO:0005886,7.94056019693
283871,BTO:0000195,GO:0005886,7.82804532556
3576,BTO:0000195,GO:0005886,7.71182553486
4869,BTO:0000567,GO:0005634,7.70675039044
1508,BTO:0002870,GO:0005886,7.6873419996
5970,BTO:0000599,GO:0005634,7.68695212783
5747,BTO:0000195,GO:0005925,7.62238114428
5870,BTO:0000567,GO:0005794,7.60484768381
338,BTO:0000599,GO:0005783,7.59070623878
57332,BTO:0001061,GO:0031982,7.57895343805
2703,BTO:0000567,GO:0030054,7.56160224724
596,BTO:0000567,GO:0005739,7.50451974003
8856,BTO:0000599,GO:0005634,7.39378389227
5747,BTO:0000018,GO:0005925,7.3555913851
114548,BTO:0000018,GO:0005737,7.35453470795
596,BTO:0000793,GO:0005739,7.33126061199
5371,BTO:0000567,GO:0005634,7.27014105507
836,BTO:0000567,GO:0005829,7.26449604633
1649,BTO:0000599,GO:0005783,7.25204879301
5468,BTO:0000599,GO:0031982,7.15500284231
836,BTO:0000567,GO:0005634,7.12435050425
595,BTO:0000093,GO:0005634,7.11965091547
836,BTO:0000793,GO:0005634,7.04095437665
7157,BTO:0000599,GO:0005634,7.00365358468
