PMID,ENTREZ,GO,BTO,score
10024519,6774,GO:0005634,BTO:0000567,1.43728520109
10024519,5894,GO:0005634,BTO:0000567,-0.250386467338
10024519,2353,GO:0005634,BTO:0000567,1.54737158475
10024519,2264,GO:0005634,BTO:0000567,-0.394981815241
10024519,1950,GO:0005634,BTO:0000567,-0.215449095917
10024678,3265,GO:0005886,BTO:0000944,-0.174714259833
10027748,2355,GO:0005634,BTO:0000195,-0.32005102399
10027748,2353,GO:0005634,BTO:0000195,-0.195647099123
10027748,3725,GO:0005634,BTO:0000195,0.710485803887
10027748,3727,GO:0005634,BTO:0000195,-0.201824112883
10029072,706,GO:0005634,BTO:0000093,0.805987027862
10029072,706,GO:0005739,BTO:0000093,-0.357833427111
10030269,3456,GO:0005783,BTO:0000018,-0.204752083387
10030269,3456,GO:0005783,BTO:0000093,-0.230204456024
10030688,7528,GO:0005634,BTO:0000093,-0.400511979287
10030688,4869,GO:0005634,BTO:0000093,1.37150585874
10030688,6360,GO:0005634,BTO:0000093,2.16130743346
10036234,8676,GO:0031982,BTO:0000567,-0.274931296489
10036234,100170220,GO:0031982,BTO:0000567,-0.31363116345
10036234,8773,GO:0031982,BTO:0000567,-0.27103045758
10036235,382,GO:0005886,BTO:0000567,2.25367367273
10036235,382,GO:0031982,BTO:0000567,2.55698584328
10036235,998,GO:0031982,BTO:0000567,-0.199954303336
10036235,998,GO:0005886,BTO:0000567,0.18311621348
10036235,5879,GO:0031982,BTO:0000567,0.601397074576
10036235,5879,GO:0005886,BTO:0000567,1.88128123017
10036239,7430,GO:0005886,BTO:0002035,-0.348244274794
10036239,4478,GO:0005856,BTO:0002035,-0.287665041991
10036239,4771,GO:0005856,BTO:0002035,-0.232444599979
10036239,5962,GO:0005886,BTO:0002035,-0.33340912995
10036239,4478,GO:0005886,BTO:0002035,-0.318299627944
10036239,7430,GO:0005856,BTO:0002035,-0.323612436765
10036239,5962,GO:0005856,BTO:0002035,-0.305803416979
10036239,4771,GO:0005886,BTO:0002035,-0.0734806169095
10037137,7124,GO:0005737,BTO:0000567,1.58320347112
10037137,4790,GO:0005737,BTO:0000567,0.685104800504
10037137,7124,GO:0005634,BTO:0000567,4.81965446904
10037137,4790,GO:0005634,BTO:0000567,9.2941485014
10037468,4436,GO:0005634,BTO:0000793,-0.316755866857
10037468,2956,GO:0005634,BTO:0000793,-0.316755866857
10037739,1026,GO:0005783,BTO:0000007,-0.399549886515
10037739,1528,GO:0005634,BTO:0000093,-0.355057970369
10037739,596,GO:0005634,BTO:0000093,5.68362824862
10037739,1026,GO:0005634,BTO:0000093,5.32755997621
10037739,1528,GO:0005783,BTO:0000093,-0.293351639316
10037739,1026,GO:0005783,BTO:0000093,-0.264570016015
10037739,1528,GO:0005783,BTO:0000007,-0.286328474506
10037739,596,GO:0005634,BTO:0000007,1.11186718656
10037739,7157,GO:0005634,BTO:0000093,21.7520007454
10037739,1026,GO:0005634,BTO:0000007,-0.3309392332
10037739,1528,GO:0005634,BTO:0000007,-0.350472662657
10037739,7157,GO:0005634,BTO:0000007,1.22296061281
10037739,596,GO:0005783,BTO:0000007,-0.117531097394
10037739,7157,GO:0005783,BTO:0000093,1.52580081393
10037739,596,GO:0005783,BTO:0000093,1.95852570001
10037739,7157,GO:0005783,BTO:0000007,-0.235232002151
10037796,5747,GO:0005925,BTO:0000007,1.51766616683
10037796,6352,GO:0005925,BTO:0000007,-0.349386463064
10037796,1234,GO:0005925,BTO:0000007,-0.30136708156
10049710,3916,GO:0005886,BTO:0000599,-0.399359448136
10049710,8773,GO:0005886,BTO:0000599,-0.368551194905
10049710,7018,GO:0005886,BTO:0000599,1.16181446543
10049749,3596,GO:0005634,BTO:0000567,-0.246646093692
10049749,3565,GO:0005634,BTO:0000567,1.40854607987
10049786,1956,GO:0005925,BTO:0000793,-0.399363926874
10049786,1950,GO:0005925,BTO:0000793,-0.385488551606
10049786,2885,GO:0005925,BTO:0000793,-0.165685264211
10049786,867,GO:0005925,BTO:0000793,-0.103485770456
10050678,1811,GO:0031982,BTO:0000567,-0.365392111275
10050678,3115,GO:0031982,BTO:0000567,-0.274931296489
10050678,3112,GO:0031982,BTO:0000567,-0.274931296489
10051647,2796,GO:0005737,BTO:0001061,-0.208013454681
10051647,2796,GO:0005737,BTO:0000093,-0.363597222076
10051647,57332,GO:0005737,BTO:0001061,3.99637166693
10051647,57332,GO:0005737,BTO:0000093,-0.365281528293
10064902,2168,GO:0031982,BTO:0000599,1.6488638969
10066752,283871,GO:0005886,BTO:0000944,-0.379978377335
10066752,5243,GO:0005783,BTO:0000944,-0.389868908844
10066752,283871,GO:0005783,BTO:0000944,-0.356535263785
10066752,5243,GO:0005886,BTO:0000944,-0.0187258822113
10066752,8714,GO:0005783,BTO:0000944,-0.357832783431
10066752,8714,GO:0005886,BTO:0000944,-0.29090092178
10066797,6795,GO:0005856,BTO:0000567,0.228947186024
10066797,6790,GO:0005856,BTO:0000567,5.70020231515
10066797,9212,GO:0005856,BTO:0000567,3.59208033738
10066824,409,GO:0005829,BTO:0000007,-0.0965332081157
