PMID,ENTREZ,GO,BTO,score
10606741,8600,GO:0005634,BTO:0000140,94.9855766524
10693864,8600,GO:0005634,BTO:0000140,94.9855766524
11165949,8600,GO:0005634,BTO:0000140,94.9855766524
11245477,8600,GO:0005634,BTO:0000140,94.9855766524
11312114,8600,GO:0005634,BTO:0000140,94.9855766524
11336917,8600,GO:0005634,BTO:0000140,94.9855766524
11393778,8600,GO:0005634,BTO:0000140,94.9855766524
11393778,8600,GO:0005634,BTO:0000140,94.9855766524
11426018,8600,GO:0005634,BTO:0000140,94.9855766524
11426018,8600,GO:0005634,BTO:0000140,94.9855766524
11505389,8600,GO:0005634,BTO:0000140,94.9855766524
11835398,8600,GO:0005634,BTO:0000140,94.9855766524
11855844,8600,GO:0005634,BTO:0000140,94.9855766524
11870668,8600,GO:0005634,BTO:0000140,94.9855766524
11870668,8600,GO:0005634,BTO:0000140,94.9855766524
11918537,8600,GO:0005634,BTO:0000140,94.9855766524
11950689,8600,GO:0005634,BTO:0000140,94.9855766524
12023971,8600,GO:0005634,BTO:0000140,94.9855766524
12043011,8600,GO:0005634,BTO:0000140,94.9855766524
12213884,8600,GO:0005634,BTO:0000140,94.9855766524
12393684,8600,GO:0005634,BTO:0000140,94.9855766524
12477572,8600,GO:0005634,BTO:0000140,94.9855766524
12548579,8600,GO:0005634,BTO:0000140,94.9855766524
12548589,8600,GO:0005634,BTO:0000140,94.9855766524
12564836,8600,GO:0005634,BTO:0000140,94.9855766524
12588456,8600,GO:0005634,BTO:0000140,94.9855766524
12600190,8600,GO:0005634,BTO:0000140,94.9855766524
12689925,8600,GO:0005634,BTO:0000140,94.9855766524
12689929,8600,GO:0005634,BTO:0000140,94.9855766524
12773123,8600,GO:0005634,BTO:0000140,94.9855766524
12828654,8600,GO:0005634,BTO:0000140,94.9855766524
12932284,8600,GO:0005634,BTO:0000140,94.9855766524
12954625,8600,GO:0005634,BTO:0000140,94.9855766524
12954625,8600,GO:0005634,BTO:0000140,94.9855766524
12975380,8600,GO:0005634,BTO:0000140,94.9855766524
14602774,8600,GO:0005634,BTO:0000140,94.9855766524
14675140,8600,GO:0005634,BTO:0000140,94.9855766524
14675140,8600,GO:0005634,BTO:0000140,94.9855766524
14678293,8600,GO:0005634,BTO:0000140,94.9855766524
14690142,8600,GO:0005634,BTO:0000140,94.9855766524
14693199,8600,GO:0005634,BTO:0000140,94.9855766524
14725683,8600,GO:0005634,BTO:0000140,94.9855766524
14734048,8600,GO:0005634,BTO:0000140,94.9855766524
14996780,8600,GO:0005634,BTO:0000140,94.9855766524
15020327,8600,GO:0005634,BTO:0000140,94.9855766524
15044512,8600,GO:0005634,BTO:0000140,94.9855766524
15124262,8600,GO:0005634,BTO:0000140,94.9855766524
15201606,8600,GO:0005634,BTO:0000140,94.9855766524
15238146,8600,GO:0005634,BTO:0000140,94.9855766524
15240611,8600,GO:0005634,BTO:0000140,94.9855766524
15251126,8600,GO:0005634,BTO:0000140,94.9855766524
15252851,8600,GO:0005634,BTO:0000140,94.9855766524
15280347,8600,GO:0005634,BTO:0000140,94.9855766524
15292302,8600,GO:0005634,BTO:0000140,94.9855766524
15308576,8600,GO:0005634,BTO:0000140,94.9855766524
15312444,8600,GO:0005634,BTO:0000140,94.9855766524
15322748,8600,GO:0005634,BTO:0000140,94.9855766524
15517638,8600,GO:0005634,BTO:0000140,94.9855766524
15522223,8600,GO:0005634,BTO:0000140,94.9855766524
15522223,8600,GO:0005634,BTO:0000140,94.9855766524
15561602,8600,GO:0005634,BTO:0000140,94.9855766524
15583970,8600,GO:0005634,BTO:0000140,94.9855766524
15665031,8600,GO:0005634,BTO:0000140,94.9855766524
15671541,8600,GO:0005634,BTO:0000140,94.9855766524
15753532,8600,GO:0005634,BTO:0000140,94.9855766524
